,0,1,2
AssetTurnover,563075.4457482361,254232673.27733862,0.843601928
CurrentRatio,310248.53222372965,1.0138105529259258,1.0
DebtToEquity,23626097.02694597,18692710.821388837,2.527487951
Dividend_Yield,0.09861520877236846,0.05179487179487179,0.0
EPS,-39986842234.68435,-40897750659.492065,-1.538494132
EquityRatio,182793.86229288022,74929037.76041606,0.39564976
FloatPct,inf,8420055132978.976,3.223378749
P/E Ratio,33538.78195287595,18.709598503698917,22.65053069
PB_Ratio,15633391.690848375,5.0808272372249395,97812.02243
ProfitMargin,-143513.8534188333,-2.9683924662763532,-0.245027944
ROA,-8965.646265464238,-73928077.37428752,-0.206706046
ROE,-2500568.2809227374,323977.6217171136,-0.52244704
ROI,-8965.646353636597,-73928077.37449147,-0.206706046
assets,510478777635.3309,3055479585.440171,53400083.0
cik,1316788.833553595,1609614.8461538462,1747661.0
equity,76015173070.98273,816074442.2592592,21127730.0
liabilities,434716157308.76245,3138304522.1467237,53400083.0
net_income,7909440003.024824,-2819937.0712250713,-11038120.0
public_float,1702226413317.4114,8278622233132693.0,46581397.0
revenue,73589279860.7552,948420667.8262109,45048413.0
shares_outstanding,410465116423.617,6675747.9324849285,7174626.0
ticker_price,23.31880586372254,21.1418075048604,288035.3625
ticker_price_x,524.9719701338888,-16.74119343925,288035.3625
ticker_price_y,524.9719701338888,-16.74119343925,288035.3625
year,2014.9546022788156,2018.2678062678062,2017.5
